NAME,alcohol_consumption_l_yr,male_consumption,female_consumption
Russia,16.8,7.42,27
Greece,14.4,5.87,24.5
Lesotho,12.9,5.87,21.4
Madagascar,12.1,5.5,19.8
Djibouti,12,5.25,19.1
Grenada,11.8,5.3,18.6
Poland,11.7,5.16,18.7
Belarus,11.6,5.21,19.4
Bulgaria,11.6,4.77,19
Australia,11.5,5.22,18.1
Tuvalu,11.3,4.48,18.5
Burkina Faso,11.3,3.84,19
Romania,11.1,4.94,18.1
United Kingdom,10.9,3.81,18.5
Malawi,10.8,5.1,16.5
Lebanon,10.8,4.53,17.1
Ivory Coast,10.8,5.15,16.6
United Arab Emirates,10.7,4.88,16.8
Fiji,10.7,4.82,17.4
Slovenia,10.7,4.68,17.1
Rwanda,10.5,4.2,18.1
Solomon Islands,10.4,4.42,16.4
Morocco,10.3,4.31,16.9
Georgia,10.3,4.68,16.5
Sierra Leone,10.2,3.95,15.7
Switzerland,10.1,4.61,15.7
Nicaragua,10,4.7,15.5
Indonesia,9.93,4.36,16.1
Cape Verde,9.89,4.31,15.6
Costa Rica,9.82,3.72,16.8
Andorra,9.68,4.35,14.8
Canada,9.6,3.91,15.4
Sweden,9.57,4.3,14.8
DR Congo,9.49,4.33,14.8
Saint Vincent and the Grenadines,9.28,3.83,14.9
Uganda,9.24,4.05,15.5
Spain,9.16,4.09,14.5
Gambia,9.08,4.1,14.3
North Korea,8.96,3.1,15.7
Portugal,8.88,4.06,14.4
Benin,8.83,3.46,14.3
New Zealand,8.71,3.95,13.6
Barbados,8.22,3.35,13.6
Germany,8.14,3.28,12.7
Argentina,8.05,3.71,12.6
Vietnam,8.04,3.21,13.2
Thailand,7.99,3.08,13.3
Iran,7.94,3.61,12.1
Seychelles,7.89,3.35,12.9
Republic of the Congo,7.79,3.43,12.2
Brazil,7.7,3.27,12.4
Montenegro,7.68,3.22,12.3
Cyprus,7.65,3.27,12.3
Chile,7.56,3.46,11.8
Norway,7.38,3.35,11.4
Guinea Bissau,7.33,2.98,11.7
Botswana,7.27,2.45,12.3
South Korea,7.13,2.31,12.4
Mauritius,7.11,3.11,10.8
Japan,6.97,3.07,11.2
Micronesia,6.86,2.47,11.4
Finland,6.79,2.23,11.5
Cameroon,6.67,2.64,10.9
Antigua and Barbuda,6.66,2.78,11
Eswatini,6.56,2.61,9.86
El Salvador,6.5,2.69,10.3
Peru,6.45,2.99,10
Kazakhstan,6.38,2.76,10.3
Denmark,6.36,2.66,10.1
Cook Islands,6.05,2.56,9.59
Trinidad and Tobago,6.03,2.38,9.82
Cambodia,6.01,2.49,9.62
Suriname,5.93,2.27,9.67
Bosnia and Herzegovina,5.87,2.03,9.9
Guinea,5.81,2.51,9.29
Philippines,5.66,2.18,9.1
Paraguay,5.62,2.37,8.88
Samoa,5.62,2.2,8.9
Uruguay,5.61,2.55,8.97
Czech Republic,5.38,2.07,8.79
Mauritania,5.32,1.52,9.06
Nauru,5.05,1.66,8.79
Hungary,5.04,2.09,8.23
