Word,Decade,Raw_Freq,Total_Words_Decade
racism,1820,0,700000
racism,1830,0,1300000
racism,1840,0,1500000
racism,1850,0,1600000
racism,1860,0,1600000
racism,1870,0,1800000
racism,1880,0,1900000
racism,1890,0,1900000
racism,1900,0,2100000
racism,1910,0,2200000
racism,1920,0,2400000
racism,1930,3,2600000
racism,1940,9,2600000
racism,1950,15,2700000
racism,1960,105,2800000
racism,1970,169,2700000
racism,1980,204,2800000
racism,1990,364,3200000
racism,2000,302,3300000
racism,2010,399,3400000
church,1820,0,700000
church,1830,0,1300000
church,1840,0,1500000
church,1850,0,1600000
church,1860,24,1600000
church,1870,243,1800000
church,1880,386,1900000
church,1890,419,1900000
church,1900,441,2100000
church,1910,245,2200000
church,1920,898,2400000
church,1930,554,2600000
church,1940,496,2600000
church,1950,510,2700000
church,1960,624,2800000
church,1970,606,2700000
church,1980,681,2800000
church,1990,1029,3200000
church,2000,1176,3300000
church,2010,915,3400000
diversity,1820,0,700000
diversity,1830,0,1300000
diversity,1840,0,1500000
diversity,1850,0,1600000
diversity,1860,0,1600000
diversity,1870,4,1800000
diversity,1880,1,1900000
diversity,1890,6,1900000
diversity,1900,5,2100000
diversity,1910,5,2200000
diversity,1920,20,2400000
diversity,1930,6,2600000
diversity,1940,8,2600000
diversity,1950,12,2700000
diversity,1960,14,2800000
diversity,1970,20,2700000
diversity,1980,63,2800000
diversity,1990,113,3200000
diversity,2000,102,3300000
diversity,2010,171,3400000
social media,1820,0,700000
social media,1830,0,1300000
social media,1840,0,1500000
social media,1850,0,1600000
social media,1860,0,1600000
social media,1870,0,1800000
social media,1880,0,1900000
social media,1890,0,1900000
social media,1900,0,2100000
social media,1910,0,2200000
social media,1920,0,2400000
social media,1930,0,2600000
social media,1940,0,2600000
social media,1950,0,2700000
social media,1960,0,2800000
social media,1970,0,2700000
social media,1980,0,2800000
social media,1990,0,3200000
social media,2000,1,3300000
social media,2010,276,3400000
war,1820,0,700000
war,1830,0,1300000
war,1840,0,1500000
war,1850,0,1600000
war,1860,480,1600000
war,1870,469,1800000
war,1880,482,1900000
war,1890,914,1900000
war,1900,446,2100000
war,1910,2376,2200000
war,1920,2843,2400000
war,1930,2668,2600000
war,1940,8360,2600000
war,1950,3103,2700000
war,1960,2482,2800000
war,1970,1954,2700000
war,1980,1227,2800000
war,1990,1523,3200000
war,2000,1772,3300000
war,2010,1235,3400000
homophobia,1820,0,700000
homophobia,1830,0,1300000
homophobia,1840,0,1500000
homophobia,1850,0,1600000
homophobia,1860,0,1600000
homophobia,1870,0,1800000
homophobia,1880,0,1900000
homophobia,1890,0,1900000
homophobia,1900,0,2100000
homophobia,1910,0,2200000
homophobia,1920,0,2400000
homophobia,1930,0,2600000
homophobia,1940,0,2600000
homophobia,1950,0,2700000
homophobia,1960,0,2800000
homophobia,1970,0,2700000
homophobia,1980,0,2800000
homophobia,1990,2,3200000
homophobia,2000,5,3300000
homophobia,2010,5,3400000
recession,1820,0,700000
recession,1830,0,1300000
recession,1840,0,1500000
recession,1850,0,1600000
recession,1860,0,1600000
recession,1870,0,1800000
recession,1880,0,1900000
recession,1890,1,1900000
recession,1900,3,2100000
recession,1910,5,2200000
recession,1920,44,2400000
recession,1930,76,2600000
recession,1940,20,2600000
recession,1950,149,2700000
recession,1960,80,2800000
recession,1970,177,2700000
recession,1980,217,2800000
recession,1990,214,3200000
recession,2000,84,3300000
recession,2010,178,3400000
family,1820,0,700000
family,1830,0,1300000
family,1840,0,1500000
family,1850,0,1600000
family,1860,25,1600000
family,1870,183,1800000
family,1880,226,1900000
family,1890,244,1900000
family,1900,304,2100000
family,1910,243,2200000
family,1920,483,2400000
family,1930,503,2600000
family,1940,404,2600000
family,1950,456,2700000
family,1960,664,2800000
family,1970,942,2700000
family,1980,1392,2800000
family,1990,2340,3200000
family,2000,2435,3300000
family,2010,2760,3400000
feminism,1820,0,700000
feminism,1830,0,1300000
feminism,1840,0,1500000
feminism,1850,0,1600000
feminism,1860,0,1600000
feminism,1870,0,1800000
feminism,1880,0,1900000
feminism,1890,0,1900000
feminism,1900,0,2100000
feminism,1910,1,2200000
feminism,1920,2,2400000
feminism,1930,0,2600000
feminism,1940,0,2600000
feminism,1950,0,2700000
feminism,1960,0,2800000
feminism,1970,0,2700000
feminism,1980,12,2800000
feminism,1990,23,3200000
feminism,2000,9,3300000
feminism,2010,9,3400000
